一	
乙	
二	
十	
丁	
厂	
七	
卜	
八	
人	
入	
儿	
匕	
几	
九	
刁	
了	
刀	
力	
乃	
又	
三	
干	
于	
亏	
工	
土	
士	
才	
下	
寸	
大	
丈	
与	
万	
上	
小	
口	
山	
巾	
千	
乞	
川	
亿	乙
个	
夕	
久	
么	
勺	
凡	
丸	
及	
广	
亡	
门	
丫	
义	
之	
尸	
己	
已	
巳	
弓	
子	
卫	
也	
女	
刃	
飞	
习	
叉	
马	
乡	
丰	
王	
开	
井	
天	
夫	
元	
无	
云	
专	
丐	
扎	
艺	乙
木	
五	
支	
厅	丁
不	
犬	
太	
区	
历	力
歹	
友	
尤	
匹	
车	
巨	
牙	
屯	
戈	
比	
互	
切	七
瓦	
止	
少	
曰	
日	
中	
贝	
冈	
内	
水	
见	
午	
牛	
手	
气	
毛	
壬	
升	
夭	
长	
仁	
什	十
片	
仆	卜
化	𠤎
仇	九
币	
仍	乃
仅	
斤	
爪	
反	
介	
父	
从	
仑	
今	
凶	
分	
乏	
公	
仓	
月	
氏	
勿	
欠	
风	
丹	
匀	
乌	
勾	
凤	
六	
文	
亢	
方	
火	
为	
斗	
忆	乙
计	
订	丁
户	
认	人
冗	
讥	几
心	
尺	
引	
丑	
巴	
孔	
队	
办	
以	
允	
予	
邓	
劝	
双	
书	
幻	
玉	
刊	干
未	
末	
示	
击	
打	丁
巧	丂
正	
扑	卜
卉	
扒	八
功	工
扔	乃
去	
甘	
世	
艾	乂
古	
节	卩
本	
术	
可	
丙	
左	
厉	万
石	
右	
布	
夯	
戊	
龙	
平	
灭	
轧	
东	
卡	
北	
占	
凸	
卢	
业	
旧	
帅	
归	
旦	
目	
且	
叶	十
甲	
申	
叮	丁
电	
号	
田	
由	
只	
叭	八
史	
央	
兄	
叽	几
叼	刁
叫	丩
叩	
叨	刀
另	
叹	
冉	
皿	
凹	
囚	
四	
生	
矢	
失	
乍	
禾	
丘	
付	
仗	丈
代	弋
仙	山
们	门
仪	义
白	
仔	子
他	也
斥	
瓜	
乎	
丛	从
令	
用	
甩	
印	
尔	
乐	
句	
匆	
册	
卯	
犯	
外	
处	
冬	
鸟	
务	
包	
饥	几
主	
市	
立	
冯	冫
玄	
闪	
兰	
半	
汁	十
汇	
头	
汉	
宁	
穴	
它	
讨	
写	
让	上
礼	
训	川
议	义
必	
讯	卂
记	己
永	
司	
尼	
民	
弗	
弘	
出	
辽	了
奶	乃
奴	
召	刀
加	
皮	
边	
孕	
发	
圣	
对	
台	
矛	
纠	
母	
幼	
丝	
邦	丰
式	弋
迂	于
刑	开
戎	
动	
扛	工
寺	
吉	
扣	口
考	丂
托	乇
老	
巩	
圾	及
执	
扩	广
扫	
地	也
场	𠃓
扬	𠃓
耳	
芋	于
共	
芒	亡
亚	
芝	之
朽	丂
朴	卜
机	几
权	
过	
臣	
吏	
再	
协	
西	
压	
厌	
戌	
在	
百	白
有	
存	
