人	
儿	
入	
八	
几	
刀	
刁	
力	
匕	
十	
卜	
又	
三	
下	
丈	
上	
丫	
丸	
凡	
久	
么	
也	
乞	
于	
一	
乙	
丁	
七	
乃	
九	
了	
二	
右	
召	刀
叮	丁
叩	
叨	刀
叼	刁
司	
叵	
叫	丩
另	
只	
史	
叱	
台	
句	
叭	八
叻	力
四	
囚	
外	
央	
失	
奴	
奶	乃
孕	
它	
尼	
巨	
巧	丂
左	
市	
布	
平	
幼	
弁	
弘	
弗	
必	
戊	
打	丁
扔	乃
扒	八
扑	卜
斥	
旦	
朮	
本	
未	
末	
札	
正	
母	
民	
氐	
永	
汁	十
汀	丁
氾	
犯	
玄	
玉	
瓜	
瓦	
甘	
生	
用	
甩	
田	
由	
甲	
申	
疋	
白	
皮	
皿	
目	
矛	
矢	
石	
示	
禾	
穴	
立	
丞	
丟	
乒	
乓	
乩	
亙	
交	
亦	
亥	
仿	方
伉	亢
伙	火
伊	尹
伕	夫
伍	五
伐	
休	
伏	
仲	中
件	
任	壬
亡	
兀	
刃	
勺	
千	
叉	
口	
土	
士	
夕	
大	
女	
子	
孑	
孓	
寸	
小	
尢	
尸	
山	
川	
工	
己	
已	
巳	
巾	
干	
廾	
弋	
弓	
才	
丑	
丐	
不	
中	
丰	
丹	
之	
尹	
予	
云	
井	
互	
五	
亢	
仁	
什	十
仃	丁
仆	卜
仇	九
仍	乃
今	
介	
仄	
元	
允	
內	
六	
兮	
公	
冗	
凶	
分	
切	七
刈	乂
勻	
勾	
勿	
化	𠤎
匹	
午	
升	
卅	
卞	
厄	
友	
及	
反	
壬	
天	
夫	
太	
夭	
孔	
少	
尤	
尺	
屯	
巴	
幻	
廿	
弔	
引	
心	
戈	
戶	
手	
扎	
支	
文	
斗	
斤	
方	
日	
曰	
月	
木	
欠	
止	
歹	
毋	
比	
毛	
氏	
水	
火	
爪	
父	
爻	
片	
牙	
牛	
犬	
王	
丙	
世	
丕	
且	
丘	
主	
乍	
乏	
乎	
以	
付	
仔	子
仕	士
他	也
仗	丈
代	弋
令	
仙	山
仞	刃
充	
兄	
冉	
冊	
冬	
凹	
出	
凸	
刊	干
加	
功	工
包	
匆	
北	
匝	
仟	千
半	
卉	
卡	
占	
卯	
卮	
去	
可	
古	
仰	卬
仳	比
份	分
企	
伋	及
光	
兇	凶
兆	
先	
全	
共	
再	
冰	
列	歹
刑	开
划	
刎	勿
刖	月
劣	
匈	凶
匡	
匠	
印	
危	
吉	
吏	
同	
吊	
吐	土
吁	于
吋	寸
各	
向	
名	
合	
吃	乞
后	
吆	幺
吒	
巫	
希	
序	予
庇	比
床	
廷	𡈼
弄	
弟	
彤	
形	开
彷	方
役	
忘	亡
忌	己
志	士
忍	刃
忱	冘
快	夬
忸	丑
忪	公
戒	
我	
抄	少
抗	亢
抖	斗
技	支
扶	夫
抉	夬
扭	丑
把	巴
扼	厄
找	
批	比
扳	反
抒	予
扯	止
折	
扮	分
宗	
定	
官	
宜	
宙	由
宛	夗
尚	
因	
回	
囝	
圳	川
地	也
在	
圭	
圬	
圯	巳
圩	于
夙	
多	
夷	
夸	亏
妄	亡
奸	干
妃	己
好	
她	也
如	
妁	
字	子
存	
宇	于
守	
宅	乇
安	
寺	
尖	
屹	乞
州	
帆	凡
并	
年	
式	弋
弛	也
忙	亡
忖	寸
戎	
戌	
戍	
成	
扣	口
扛	工
托	乇
收	丩
早	
旨	匕
旬	
旭	九
曲	
曳	
有	
朽	丂
朴	卜
朱	
朵	
次	
此	
死	
氖	乃
汝	女
汗	干
汙	于
江	工
池	也
汐	夕
汕	山
污	亏
汛	卂
汍	丸
汎	凡
灰	
牟	
牝	匕
百	白
竹	
米	
糸	
缶	
羊	
羽	
老	
考	丂
而	
耒	
耳	
聿	
肉	
肋	力
肌	几
臣	
自	
至	
臼	
舌	
舛	
舟	
艮	
色	
艾	乂
虫	
血	
行	
衣	
西	
阡	千
串	
亨	
位	
住	主
佇	宁
佗	它
佞	
伴	半
佛	弗
何	可
估	古
佐	左
佑	右
伽	加
伺	司
伸	申
佃	田
佔	占
似	以
但	旦
佣	用
作	乍
你	尔
伯	白
低	氐
伶	令
余	
佝	句
佈	布
佚	失
兌	
克	
免	
兵	
冶	台
冷	令
別	
判	半
利	
刪	
刨	包
劫	去
助	且
努	奴
劬	句
匣	甲
即	
卵	
吝	文
吭	亢
吞	天
吾	五
否	不
呎	尺
吧	巴
呆	
呃	厄
吳	
呈	𡈼
呂	
君	
吩	分
告	
吹	
吻	勿
吸	及
吮	允
吵	少
吶	內
吠	
吼	孔
呀	牙
吱	支
含	今
吟	今
听	斤
囪	
困	
囤	屯
囫	勿
坊	方
坑	亢
址	止
坍	丹
均	勻
坎	欠
圾	及
坐	
坏	不
圻	
壯	
夾	
妝	
妒	戶
妨	方
妞	丑
妣	比
妙	少
妖	夭
妍	
妤	予
妓	支
妊	壬
妥	
孝	
孜	子
孚	
孛	
完	元
宋	
宏	厷
尬	介
局	
屁	比
尿	
尾	
岐	支
岑	今
岔	
岌	及
投	
抓	爪
抑	
抆	文
改	
攻	工
攸	
旱	干
更	
束	
李	子
杏	
材	才
村	寸
杜	土
杖	丈
杞	己
杉	彡
杆	干
杠	工
杓	
杗	亡
步	
每	母
求	
汞	工
沙	少
沁	心
沈	冘
沉	
沅	元
沛	巿
汪	王
決	夬
沐	木
汰	太
沌	屯
汨	
沖	中
沒	
汽	气
沃	夭
汲	及
汾	分
汴	卞
沆	亢
汶	文
沍	互
沔	丏
沘	比
沂	斤
灶	
灼	勺
災	
灸	久
牢	
牡	土
牠	
狄	
狂	王
玖	久
甬	用
甫	
男	
甸	田
皂	
盯	丁
矣	
私	厶
秀	
禿	
究	九
系	
罕	干
肖	
肓	亡
肝	干
肘	
肛	工
肚	土
育	
良	
芒	亡
芋	于
芍	勺
見	
角	
言	
谷	
豆	
豕	
貝	
赤	
走	
足	
身	
車	
辛	
辰	
迂	于
迆	也
迅	卂
迄	乞
巡	巛
邑	
邢	
邪	牙
邦	丰
那	
酉	
釆	
里	
防	方
阮	元
阱	井
阪	反
阬	亢
並	
乖	
乳	
事	
些	
亞	
享	
京	
佯	羊
依	衣
侍	寺
佳	圭
使	吏
佬	老
供	共
例	列
來	
侃	
佰	百
併	并
侈	多
佩	
佻	兆
侖	
佾	
侏	朱
侑	有
佺	全
兔	
兒	
兕	
兩	
具	
其	
典	
冽	列
函	
刻	亥
券	
刷	
刺	朿
到	
刮	
制	
剁	朵
劾	亥
劻	匡
卒	
協	
卓	
卑	
卦	圭
卷	
卸	
卹	血
取	
叔	尗
受	
味	未
呵	可
咖	加
呸	丕
咕	古
咀	且
呻	申
呷	甲
咄	出
咒	
咆	包
呼	乎
咐	付
呱	瓜
呶	奴
和	禾
咚	冬
呢	尼
周	
咋	乍
命	
咎	
固	古
垃	立
坷	可
坪	平
坩	甘
坡	皮
坦	旦
坤	申
坼	斥
夜	
奉	
奇	
奈	
奄	
奔	
妾	
妻	
委	
妹	未
妮	尼
姑	古
姆	母
姐	且
姍	
始	台
姓	生
姊	𠂔
妯	由
妳	
姒	以
姅	半
孟	皿
孤	瓜
季	
屈	出
居	
屆	
岷	民
岡	
岸	干
岩	
岫	由
岱	代
岳	
帘	
帚	
帖	占
帕	白
帛	白
帑	奴
幸	
庚	
店	占
府	付
底	氐
庖	包
延	
弦	玄
弧	瓜
弩	奴
往	主
征	正
彿	弗
彼	皮
忝	天
忠	中
忽	勿
念	今
忿	分
怏	央
怔	正
怯	去
怵	朮
怖	布
怪	圣
怕	白
怡	台
性	生
怩	尼
怫	弗
怛	旦
或	
戕	
房	方
戾	
所	戶
承	
拉	立
拌	半
拄	主
抿	民
拂	弗
抹	末
拒	巨
招	召
披	皮
拓	石
拔	犮
拋	
拈	占
抨	平
抽	由
押	甲
拐	
拙	出
拇	母
拍	白
抵	氐
拚	弁
抱	包
拘	句
拖	㐌
拗	幼
拆	斥
抬	台
拎	令
放	方
斧	父
於	
旺	王
咸	
咦	夷
咳	亥
哇	圭
哂	西
咽	因
咪	米
品	
哄	共
哈	合
咯	各
咫	
咱	自
咻	休
咩	
咧	列
咿	伊
囿	有
垂	
型	刑
垠	艮
垣	
垢	后
城	成
垮	夸
垓	亥
奕	亦
契	
昔	
易	
昌	
昆	
昂	卬
明	
昀	勻
昏	
昕	斤
昊	
昇	升
服	
朋	
杭	亢
枋	方
枕	冘
東	
果	
杳	
杷	巴
枇	比
枝	支
林	
杯	不
杰	
板	反
枉	王
松	公
析	
杵	午
枚	
枓	斗
杼	予
杪	少
杲	
欣	斤
武	
歧	支
歿	
氓	亡
氛	分
泣	立
注	主
泳	永
沱	它
泌	必
泥	尼
河	可
沽	古
沾	占
沼	召
波	皮
沫	末
法	
泓	弘
沸	弗
泄	世
油	由
況	
沮	且
泗	四
泅	囚
泱	央
沿	
治	台
泡	包
泛	乏
泊	白
沬	未
泯	民
泜	氐
泖	卯
泠	令
炕	亢
炎	
炒	少
炊	
炙	
爬	巴
爭	
爸	巴
版	反
牧	
物	勿
狀	
狎	甲
狙	且
狗	句
狐	瓜
玩	元
玨	
玟	文
玫	
玥	
甽	
疝	山
疙	乞
疚	久
的	
盂	于
盲	亡
直	
知	
矽	夕
社	
祀	巳
祁	
秉	
秈	山
空	工
穹	弓
竺	
糾	
罔	亡
羌	
羋	
者	
肺	巿
肥	
肢	支
肱	
股	殳
肫	屯
肩	
肴	爻
肪	方
肯	
臥	
臾	
舍	
芳	方
芝	之
芙	夫
芭	巴
芽	牙
芟	
芹	斤
花	化
芬	分
芥	介
芯	心
芸	云
芣	不
芰	支
芾	巿
芷	止
虎	虍
虱	
初	
表	
軋	
迎	卬
返	反
近	斤
邵	召
邸	氐
邱	丘
邶	北
采	
金	
長	
門	
阜	
陀	它
阿	可
阻	且
附	付
陂	皮
隹	
雨	
青	
非	
亟	
亭	丁
亮	
信	
