㑇,zhou4
㑌,kuang1
㑩,luo2
㑳,zhou4
㒓,ta4
㓦,bai1
㔉,zhu3
㔚,jie2
㕑,chu2
㕜,shi3
㕠,shuang1
㕶,n3,ng3
㖊,xun2
㖞,wai1
㗄,ku1
㗏,wai1
㗑,bai5
㘄,leng1
㘆,tai3
㘎,han3
㘗,qu1
㘥,you2
㘭,ao4
㘱,tan1
㘵,bu4
㙘,yao1
㙟,lang3
㙦,xie2
㚁,qiao4
㚢,nu2
㚻,ji1
㛃,jie2
㝃,mian3
㝡,zui4
㝿,bo3
㞎,ba3
㞗,qiu2
㞘,du1
㞞,song2
㟂,mu3
㟖,long4
㟤,lu4
㟷,da5
㠄,xi2
㠯,yi3
㠾,yuan1
㡑,qiao1
㡓,kun1
㡠,zheng4
㡡,chu2
㡧,zheng4
㤅,ai4
㤘,zhou4
㤥,hai4
㥏,tian3
㥦,qie4
㥮,zhou4
㥵,hun4
㧀,ji2
㧏,gang1
㧐,song3
㧑,hui1
㧟,kuai3
㨄,zhou1
㨗,jie2
㨘,xing3
㨪,huang4
㩋,xiao1
㩐,den4
㩙,sai1
㩟,zhai4
㩳,song3
㪍,bo2
㪺,ju1
㫰,lang4
㬉,nuan3
㬊,huan4
㬎,xian3
㬟,fen1
㬤,qi1
㭎,gang1
㮣,gai4
㮾,lang3
㯭,lu3
㯳,qing2
㰍,long2
㱃,yin3
㲄,jue2
㲓,rong2
㲲,die2
㳂,yan2,yan4
㳇,fu4
㳠,ta4
㴩,yong1
㵐,jue2
㵲,wu3
㶁,guo2
㶉,xi1
㶑,lian4
㶟,lei3
㷟,tui4
㹎,lei2
㹢,jia1
㹭,yi4
㺀,hu1
㺄,yu3
㺅,hou2
㺢,huo4
㻫,bi4
㼈,luo2
㽁,li4
㽏,gan4
㽘,gang3
㾹,chai2
䀇,gu3
䀉,qiao2
䀌,xi4
䀦,gu3
䁖,lou1
䂫,hang1
䃅,di1
䃉,min2
䃎,zha4
䃘,keng1
䃠,xuan4
䃰,ca1
䄍,zha4
䄻,tao2
䅟,can3
䇭,lao3
䇲,ce4,jia1
䇽,zhe2
䈎,ye4
䉬,fei4
䉲,mi2
䉵,zhuan4,zuan3
䊪,li4
䋎,zhan4
䌈,ta1
䌥,yin3
䌷,chou1,chou2
䌹,jiong3
䍉,zhai3
䍡,lu4
䎱,ba4
䏝,zhuan1
䏿,qi3
䐛,da1
䑲,zhao4
䑽,ta4
䒣,ran3
䒷,gua1
䒿,liao2
䓖,qiong2
䓨,ying1
䔛,qing3
䕭,qian2
䕷,mi2
䖏,chu3,chu4
䖮,xiang3
䖳,zha4
䗖,di4
䗛,xiu1
䗪,zhe4
䗻,jie2
䘌,ni4
䘕,hang2
䘮,sang1,sang4
䙌,kui4
䜺,chai3
䝋,zong4
䝟,ya4
䞍,qing2
䞓,cheng1
䟡,zhi1
䠀,tang1
䠊,fei4
䠱,zhu2
䢺,chu1
䤌,qiang1
䤨,pi4
䤼,xian4
䥇,shan4
䥕,pie3
䥛,jie1
䥽,po1
䦃,zhuo1
䦆,jue2
䦶,zheng4
䦷,chuai4
䧡,yong1
䨦,pang1
䩄,mian3,tian3
䩬,beng3
䩺,weng1
䪍,lan2
䫈,chen3
䫏,qi1
䭔,dui1
䯄,gua1
䯧,qing3
䯼,di2
䰀,wo3
䰖,zuan3
䰛,li4
䱗,can1
䱚,lu4
䱛,huo4
䱨,la4
䱵,weng1
䱷,yu2
䱻,hua2
䲗,xian2
䲟,yin4
䲠,chun1
䲢,teng2
䳍,gong1
䳘,e2
䴓,shi1
䴔,jiao1
䴕,lie4
䴖,jing1
䴗,ju2
䴙,pi4
䴚,gang3
䴥,jia1
䴸,fu1
䵚,tao3
䶊,nü4
䶕,ba4
䶗,ke4,qia1
䶧,yao3
䶮,yan3
一,yi1,yi2,yi4
丁,ding1,zheng1
七,qi1,qi2
万,mo4,wan4
丈,zhang4
三,san1
上,shang3,shang4
下,xia4
不,bu2,bu4
与,yu2,yu3,yu4
丏,mian3
丐,gai4
丑,chou3
专,zhuan1
且,ju1,qie3
丕,pi1
世,shi4
丘,qiu1
丙,bing3
业,ye4
丛,cong2
东,dong1
丝,si1
丞,cheng2
丟,diu1
丢,diu1
两,liang3
严,yan2
並,bing4
丧,sang1,sang4
个,ge4,ge3
丫,ya1
中,zhong1,zhong4
丰,feng1
丱,guan4
串,chuan4
临,lin2
丸,wan2
丹,dan1
为,wei2,wei4
主,zhu3
丽,li2,li4
举,ju3
乂,yi4
乃,nai3
久,jiu3
乇,tuo1
么,ma5,me5,yao1
义,yi4
之,zhi1
乌,wu1,wu4
乍,zha4
乎,hu1
乏,fa2
乐,le4,yue4
乒,ping1
乓,pang1
乔,qiao2
乖,guai1
乘,cheng2,sheng4
乙,yi3
乜,mie1,nie4
九,jiu3
乞,qi3
也,ye3
习,xi2
乡,xiang1
书,shu1
乩,ji1
买,mai3
乱,luan4
乳,ru3
乸,na3
乾,gan1,qian2
亂,luan4
了,le5,liao3,liao4
予,yu2,yu3
争,zheng1
事,shi4
二,er4
亍,chu4
于,yu2
亏,kui1
云,yun2
互,hu4
亓,qi2
五,wu3
井,jing3
亘,gen4
亙,gen4
亚,ya4
些,xie1
亞,ya4
亟,ji2,qi4
亡,wang2
亢,kang4
交,jiao1
亥,hai4
亦,yi4
产,chan3
亨,heng1
亩,mu3
享,xiang3
京,jing1
亭,ting2
亮,liang4
亱,ye4
亲,qin1,qing4
亳,bo2
亵,xie4
亶,dan3,dan4
亷,lian2
亸,duo3
亹,men2,wei3
人,ren2
亾,wang2
亿,yi4
什,shen2,shi2
仁,ren2
仂,le4
仃,ding1
仄,ze4
仅,jin3,jin4
仆,pu1,pu2
仇,chou2,qiu2
仉,zhang3
今,jin1
介,jie4
仍,reng2
从,cong1,cong2
仑,lun2
仓,cang1
仔,zai3,zi1,zi3
仕,shi4
他,ta1
仗,zhang4
付,fu4
仙,xian1
仛,tuo1
仝,tong2
仞,ren4
仟,qian1
仡,ge1,yi4
代,dai4
令,ling2,ling3,ling4
以,yi3
仨,sa1
仪,yi2
仫,mu4
们,men5
仰,yang3
仲,zhong4
仳,pi3
仵,wu3
件,jian4
价,jia4,jie4,jie5
任,ren2,ren4
份,fen4
仿,fang3
伀,zhong1
企,qi3
伃,yu2
伈,xin3
伉,kang4
伊,yi1
伋,ji2
伍,wu3
伎,ji4
伏,fu2
伐,fa2
休,xiu1
伕,fu1
众,zhong4
优,you1
伙,huo3
会,hui4,kuai4
伛,yu3
伞,san3
伟,wei3
传,chuan2,zhuan4
伡,che1
伢,ya2
伤,shang1
伥,chang1
伦,lun2
伧,cang1,chen5
伪,wei3
伫,zhu4
伯,bai3,bo2
估,gu1,gu4
伲,ni4
伴,ban4
伶,ling2
伷,zhou4
伸,shen1
伺,ci4,si4
似,shi4,si4
伽,ga1,jia1,qie2
伾,pi1
佀,si4
佃,dian4,tian2
但,dan4
佇,zhu4
佈,bu4
佉,qu1
佊,bi3
位,wei4
低,di1
住,zhu4
佐,zuo3
佑,you4
体,ti1,ti3
佔,zhan4
何,he2
佗,tuo2
佘,she2
余,yu2
佚,yi4
佛,fo2,fu2
作,zuo1,zuo2,zuo4
佝,gou1
佞,ning4
佟,tong2
你,ni3
佢,qu2
佣,yong1,yong4
佤,wa3
佥,qian1
佧,ka3
佩,pei4
佫,he4
佬,lao3
佯,yang2
佰,bai3
佳,jia1
佴,er4,nai4
佶,ji2
佹,gui3
佺,quan2
佻,tiao1
佼,jiao3
佽,ci4
佾,yi4
使,shi3
侁,shen1
侂,tuo1
侃,kan3
侄,zhi2
來,lai2
侈,chi3
侉,kua3
例,li4
侍,shi4
侏,zhu1
侑,you4
侔,mou2
侖,lun2
侗,dong4,tong2,tong3
侘,cha4
供,gong1,gong4
侜,zhou1
依,yi1
侠,xia2
侣,lü3
侥,jiao3,yao2
侦,zhen1
侧,ce4,ze4,zhai1
侨,qiao2
侩,kuai4
侪,chai2
侬,nong2
侮,wu3
侯,hou2,hou4
侴,chou3
侵,qin1
侷,ju2
侹,ting3
侻,tui4,tuo1
便,bian4,pian2
係,xi4
促,cu4
俄,e2
俅,qiu2
俊,jun4
俍,liang2
俎,zu3
俏,qiao4
俐,li4
俑,yong3
俗,su2
俘,fu2
俚,li3
俛,fu3,mian3
俜,ping1
保,bao3
俞,shu4,yu2
俟,qi2,si4
俠,xia2
信,xin4
俣,yu3
俤,di4
俦,chou2
俨,yan3
俩,lia3,liang3
俪,li4
俭,jian3
修,xiu1
俯,fu3
俱,ju1,ju4
俳,pai2
俵,biao4
俶,chu4,ti4
俸,feng4
俺,an3
俻,bei4
俾,bi3
倀,chang1
倂,bing4
倅,cui4
倆,lia3,liang3
倈,lai2
倉,cang1
個,ge3,ge4
倌,guan1
倍,bei4
倏,shu1
倐,shu1
倒,dao3,dao4
倓,tan2
倔,jue2,jue4
倖,xing4
倘,chang2,tang3
候,hou4
倚,yi3
倜,ti4
倞,jing4,liang4
借,jie4
倡,chang4
倢,jie2
倣,fang3
倥,kong1,kong3
倦,juan4
倨,ju4
倩,qian4
倪,ni2
倫,lun2
倬,zhuo1
倭,wo1
倮,luo3
倳,zi4
倴,ben4
倷,nai3
倸,cai3
债,zhai4
倻,ye1
值,zhi2
倾,qing1
偁,cheng1
偃,yan3
假,jia3,jia4
偈,ji4,jie2
偉,wei3
偊,yu3
偌,ruo4
偎,wei1
偏,pian1
偓,wo4
偕,xie2
做,zuo4
停,ting2
偢,chou3,qiao4
健,jian4
偪,bi1
偬,zong3
偰,xie4
偲,cai1,si1
偶,ou3
偷,tou1
偺,za2,zan2,zan5
偻,lou2,lü3
偽,wei3
偾,fen4
偿,chang2
傀,gui1,kui3
傅,fu4
傈,li4
傉,nu4
傍,bang4
傎,dian1
傑,jie2
傒,xi1
傕,jue2
傖,cang1,chen5
傘,san3
備,bei4
傚,xiao4
傜,yao2
傢,jia1
傣,dai3
傤,zai4
傥,tang3
傧,bin1
储,chu3
傩,nuo2
催,cui1
傭,yong1
傯,zong3
傲,ao4
傳,chuan2,zhuan4
傴,yu3
傷,shang1
傺,chi4
傻,sha3
僂,lou2,lü3
僄,piao4
僅,jin3,jin4
僇,lu4
僉,qian1
僊,xian1
働,dong4
像,xiang4
僑,qiao2
僕,pu2
僖,xi1
僚,liao2
僝,chan2
僞,wei3
僡,hui4
僢,chuan3
僥,jiao3,yao2
僦,jiu4
僧,seng1
僬,jiao1
僭,jian4
僮,tong2,zhuang4
僰,bo2
僱,gu4
僳,su4
僵,jiang1
僶,min3
價,jia4,jie5
僻,pi4
僽,zhou4
儀,yi2
儁,jun4
儂,nong2
億,yi4
儅,dang4
儆,jing3
儇,xuan1
儈,kuai4
儉,jian3
儋,dan1
儍,sha3
儐,bin1
儒,ru2
儓,tai2
儔,chou2
儕,chai2
儗,ni3
儘,jin3
償,chang2
儡,lei3
優,you1
儭,chen4
儱,long3
儴,rang2
儵,shu1
儷,li4
儸,luo2
儹,zan3
儺,nuo2
儻,tang3
儼,yan3
儽,lei2
儿,er2
兀,wu1,wu4
允,yun3
元,yuan2
兄,xiong1
充,chong1
兆,zhao4
兇,xiong1
先,xian1
光,guang1
克,ke4
免,mian3
兎,tu4
兑,dui4
兒,er2,ni2
兔,tu4
兕,si4
兖,yan3
党,dang3
兜,dou1
兢,jing1
入,ru4
全,quan2
兩,liang3
八,ba1,ba2
公,gong1
六,liu4,lu4
兮,xi1
兰,lan2
共,gong4
关,guan1
兴,xing1,xing4
兵,bing1
其,ji1,qi2
具,ju4
典,dian3
兹,ci2,zi1
养,yang3
兼,jian1
兽,shou4
冀,ji4
冁,chan3
冄,ran3
内,nei4
冇,mao3
冈,gang1
冉,ran3
冊,ce4
册,ce4
再,zai4
冏,jiong3
冒,mao4,mo4
冓,gou4
冕,mian3
冗,rong3
写,xie3,xie4
军,jun1
农,nong2
冠,guan1,guan4
冢,zhong3
冤,yuan1
冥,ming2
冪,mi4
冬,dong1
冮,gang1
冯,feng2,ping2
冰,bing1
冱,hu4
冲,chong1,chong4
决,jue2
况,kuang4
冶,ye3
冷,leng3
冻,dong4
冼,xian3
冽,lie4
净,jing4
凃,tu2
凄,qi1
准,zhun3
凇,song1
凉,liang2,liang4
凊,qing4
凋,diao1
凌,ling2
凍,dong4
减,jian3
凑,cou4
凓,li4
凔,chuang4
凘,si1
凙,duo2
凛,lin3
凜,lin3
凝,ning2
凟,du2
几,ji1,ji3
凡,fan2
凢,fan2
凤,feng4
処,chu3,chu4
凫,fu2
凭,ping2
凯,kai3
凰,huang2
凱,kai3
凳,deng4
凴,ping2
凶,xiong1
凷,kuai4
凸,tu1
凹,ao1,wa1
出,chu1
击,ji1
凼,dang4
函,han2
凿,zao2,zuo4
刀,dao1
刁,diao1
刃,ren4
刄,ren4
分,fen1,fen4
切,qie1,qie4
刈,yi4
刊,kan1
刌,cun3
刍,chu2
刎,wen3
刑,xing2
划,hua2,hua4,huai5
刓,wan2
刖,yue4
列,lie4
刘,liu2
则,ze2
刚,gang1
创,chuang1,chuang4
刜,fu2
初,chu1
删,shan1
判,pan4
刦,jie2
刧,jie2
刨,bao4,pao2
利,li4
刪,shan1
